date,freight_cost_index,oil_price_usd,port_congestion_index,consumer_demand_index,freight_cost_rolling,oil_price_rolling,event,actual_inventory,predicted_inventory,ridge_predicted_inventory,yhat,yhat_lower,yhat_upper,region,shipping_cost,revenue_usd
2016-01-01,1602.3,44.16,61.44,87.38,,,Normal,,,,,,,North America,2462.18,-5975.36
2016-02-01,1524.95,57.34,46.6,84.56,,,Normal,,,,,,,Europe,2345.89,-5467.96
2016-03-01,1528.19,57.0,20.27,79.74,,,Normal,,,,,,,Asia-Pacific,2350.44,-5523.72
2016-04-01,1690.77,58.81,42.64,80.72,,,Normal,,,,,,,Latin America,2611.23,-6769.2
2016-05-01,1480.88,51.9,34.42,76.07,,,Normal,,,,,,,North America,2270.82,-5224.76
2016-06-01,1557.67,65.04,49.82,81.26,1564.1266666666668,55.708333333333336,Normal,,,,,,,Europe,2401.14,-5798.51
2016-07-01,1669.8,52.57,33.63,80.17,1575.3766666666668,57.11000000000001,Normal,,,,,,,Asia-Pacific,2572.64,-6581.69
2016-08-01,1636.98,64.04,40.66,83.5,1594.0483333333334,58.22666666666667,Normal,,,,,,,Latin America,2526.57,-6341.98
2016-09-01,1555.99,73.55,47.12,78.01,1598.6816666666666,60.98500000000001,Normal,,,,,,,North America,2402.27,-5864.67
2016-10-01,1644.2,59.1,50.99,85.01,1590.92,61.03333333333333,Normal,,,,,,,Europe,2534.3,-6369.22
2016-11-01,1493.78,62.64,30.58,90.34,1593.07,62.823333333333345,Normal,,,,,,,Asia-Pacific,2295.32,-5144.67
2016-12-01,1534.01,67.33,39.5,82.39,1589.1266666666668,63.205000000000005,Normal,,,,,,,Latin America,2362.07,-5597.79
2017-01-01,1602.26,65.64,38.35,85.2,1577.87,65.38333333333334,Normal,,,,,,,North America,2469.83,-6059.05
2017-02-01,1378.53,61.67,36.83,86.9,1534.795,64.98833333333333,Normal,,,,,,,Europe,2109.05,-4337.41
2017-03-01,1493.63,70.97,61.28,81.7,1524.4016666666666,64.55833333333334,Normal,,,,,,,Asia-Pacific,2298.36,-5352.55
2017-04-01,1565.15,66.47,47.93,85.07,1511.2266666666667,65.78666666666668,Normal,,,,,,,Latin America,2409.66,-5800.36
2017-05-01,1492.74,75.23,31.53,84.26,1511.0533333333333,67.885,Normal,,,,,,,North America,2298.62,-5279.84
2017-06-01,1684.0,69.29,53.58,84.93,1536.0516666666665,68.21166666666666,Normal,,,,,,,Europe,2600.65,-6713.59
2017-07-01,1629.57,82.58,65.88,80.82,1540.6033333333332,71.03500000000001,Normal,,,,,,,Asia-Pacific,2521.1,-6438.6
